,text
2121,"On ne bâtit pas une politique sur une émotion. Quand on est président de la France, on bâtit une politique sur l’intérêt des Français. Et l’intérêt des Français, c’est de ne plus accueillir aucun immigré.
#FaceABaba https://twitter.com/ZemmourEric/status/1471751243840339977/video/1"
54,"Voila, c’est ça Paris aujourd’hui. C’est ça la France aujourd’hui.
#ZemmourCollineDuCrack #Remigration
https://twitter.com/i/status/1507302262720376835/video/1"
1488,"Explosion des acquisitions de nationalité, augmentation des demandes « d’asile », progression des titres de séjours : les chiffres @Interieur_Gouv sont catastrophiques, malgré la pandémie ! 

Je serai le Président de la fin de l’immigration. https://twitter.com/ZemmourEric/status/1484444746412183552/photo/1"
1493,"Nous accueillons Jérome Rivière et Isabelle Muller : quelle joie de vous retrouver. Au travail pour la Reconquête mes amis !
#UnionDesDroites2022 https://twitter.com/ZemmourEric/status/1484195389607661569/photo/1"
1367,"Saviez-vous qu'il y a 2 fois plus de clandestins régularisés que de clandestins expulsés ? En 2021 : 14 000 expulsions, 30 000 régularisations. Quand M. Macron expulse un étranger en situation irrégulière, il en régularise deux. Je serai le Président de la fin de l'immigration. « canardenchaine: DEMAIN DANS LE CANARD
et dès ce soir 23 heures sur http://lecanardenchaine.fr 

Macron va créer un très électoraliste Office de lutte contre l’immigration clandestine — https://twitter.com/canardenchaine/status/1485985821807230979 »"
78,Un ministère de la #Remigration : l’intention n’est rien sans l’acte. https://twitter.com/ZemmourEric/status/1507027634097729541/photo/1
1783,"Quand on est aussi chaleureusement accueilli par Philippe de Villiers et Patrick Buisson, on se sent pleinement chez soi, définitivement : dans la France éternelle.
#SablesdOlonne https://twitter.com/ZemmourEric/status/1479803331245752330/photo/1"
976,"Interdire les prestations sociales non contributives aux étrangers c’est aussi rendre justice aux femmes, qui parfois seules et en difficulté ne perçoivent même pas ces prestations. Je le dis : plus d’argent pour les Françaises, moins d’allocations pour les étrangers ! « Valeurs: 🔴 Plus de deux tiers des femmes favorables à l’interdiction des prestations sociales aux étrangers ⤵️
https://buff.ly/3GtzwiD — https://twitter.com/Valeurs/status/1490342770929811459 »"
1468,"Les militants du RN sont extrêmement courageux. Ils ont risqué leur travail et leur réputation, depuis des décennies, pour défendre la France et son identité contre l'immigration. Je les appelle, eux aussi, à notre union des patriotes.
#Nice
https://twitter.com/i/status/1484496138178859009/video/1"
287,"Les crises s’accumulent mais ne s’annulent pas. On a une crise sur notre territoire, un problème majeur qui détruit notre identité : l’immigration venue du Sud.
#FaceALaGuerreTF1 #ZemmourPrésident"
301,"La France qui croit en sa puissance, c’est nous !

La France qui s’élève contre le grand remplacement, c’est nous !

La France indépendante et souveraine, c’est nous !

La France qui reste la France, c’est nous !

La Reconquête, c’est nous !

#48HdelaReconquete #ZemmourAgen https://twitter.com/ZemmourEric/status/1503294414592131076/video/1"
141,#Remigration https://twitter.com/ZemmourEric/status/1506022287715225600/photo/1
121,"Merci pour votre accueil !
#GrandDebatVA #RassemblementTrocadero https://twitter.com/ZemmourEric/status/1506385785393754121/video/1"
2294,"Je baisse la CSG pour les salariés jusqu’à 2 000€. Je la finance en supprimant les allocations sociales non contributives aux étrangers.
#Élysée2022"
1218,"Aujourd’hui, on loge les immigrés, on loge les demandeurs d’asile qui attendent leur réponse et ne sont jamais expulsés. Je réserverai les logements sociaux aux Français.
#DynamiqueZemmour #20h22
https://twitter.com/i/status/1488603073035517953/video/1"
499,"On ne peut pas rester insensible à la douleur des réfugiés. Les Ukrainiens veulent aller en Pologne, rester à proximité de leurs proches qui se battent et pouvoir rentrer en Ukraine. Il faut les aider.
#DemandezLeProgramme"
350,"Valérie Pecresse nous dit qu’il n’y a QUE 5 millions d’étrangers en France. 
Elle en voudrait 5 millions de plus : son programme nous y conduit tout droit !

#ZemmourVsPecresse https://twitter.com/ZemmourEric/status/1502280572642770955/video/1"
525,Merci aux Deux Savoies pour leur accueil ce week-end. https://twitter.com/ZemmourEric/status/1498648694987673604/video/1
343,"Merci à Romain Lopez, Maire de Moissac, pour son accueil chaleureux dans sa belle commune d’Occitanie.
#Les48HdelaReconquete https://twitter.com/ZemmourEric/status/1502585893986709505/photo/1"
2218,"Sur l’immigration, mon plan sera présenté par référendum aux Français avant l’été. La préférence nationale y figurera. Le Conseil constitutionnel n’est pas compétent pour juger d’un référendum.
#RTLMatin https://twitter.com/ZemmourEric/status/1471015384895700992/video/1"
1450,"La ville de Cannes m'a réservé un accueil magnifique ! Mille fois merci !
#Cannes https://twitter.com/ZemmourEric/status/1484941783188582403/video/1"
2067,"Mettre fin à l'immigration : nous allons le faire ! 

Mes mesures contre l'immigration : http://programme.zemmour2022.fr 

#ProgrammeZemmour https://twitter.com/ZemmourEric/status/1473702793508802563/photo/1"
898,"L’immigration ? Je ne limite pas, j’arrête !
#LaFranceDansLesYeux #ZemmourPresident https://twitter.com/ZemmourEric/status/1491560464018456581/video/1"
1447,"Merci @GilbertCollard, quelle fougue, tu es fidèle à tout ce que j’ai toujours connu de toi, dans ton discours, bien sûr, mais aussi dans ton choix de nous rejoindre ! Fidèle à tes convictions, tu préfères ton pays à ton parti, et je t’accueille les bras ouverts !
#Cannes"
443,"Merci de cet accueil au marché du Mourillon à Toulon !
#ZemmourToulon https://twitter.com/ZemmourEric/status/1500470893792927748/video/1"
309,"Je mettrai fin au grand remplacement et au grand déclassement de la France et des Français. 

Consultez la totalité de mon programme sur mon site internet : https://programme.zemmour2022.fr/ https://twitter.com/ZemmourEric/status/1502986503303147525/photo/1"
1689,"Je couperai l’aide au développement que nous donnons aux pays d’origine des immigrés, lorsqu’ils n’acceptent pas de reprendre leurs citoyens chez eux. Si cela ne suffit pas, je bloquerai les visas, les avoirs et les transferts d’argent.
#FaceABFM https://twitter.com/ZemmourEric/status/1481420416656760832/video/1"
18,#Remigration : les Français approuvent mes mesures. https://twitter.com/ZemmourEric/status/1507470537198555136/video/1
1425,"Les salaires nets sont trop bas pour le travailleur et les salaires bruts sont trop élevés pour le patron. Je vais réduire les dépenses d’immigration et d’assistanat. Avec ces économies, je vais baisser les taxes, les charges et les impôts.
#Cannes #UnionDesDroites2022"
30,"Dimanche 27 mars, nous serons rassemblés place du Trocadéro pour un événement historique. 

Inscrivez-vous, montrons que nous sommes la Reconquête : https://www.zemmour2022.fr/evenement-trocadero

#ZemmourCollineDuCrack #remigration https://twitter.com/ZemmourEric/status/1507335068477542403/photo/1"
1231,"Quel bel accueil en Sologne ! Le gouvernement veut une politique de la ville, je veux une politique de la campagne ! https://twitter.com/ZemmourEric/status/1488206694752550913/video/1"
125,Je créerai un ministère de la #Remigration ! https://twitter.com/ZemmourEric/status/1506334009781108736/video/1
43,"J’ai voulu montrer la réalité des Français, j’ai été servi.
#ZemmourCollineDuCrack #Remigration
https://twitter.com/i/status/1507313080291713028/video/1"
1009,"Tant qu’il n’y aura pas un pays comme la France pour dire stop à l’immigration, on continuera de nous faire du chantage aux migrants.
#le79Inter #Elysee2022"
1970,"Merci à Joël Billard, maire de Bonneval pour cet accueil chaleureux ! https://twitter.com/ZemmourEric/status/1479411496186744833/photo/1"
137,"Merci de votre accueil et bravo à mes militants qui portent leurs convictions ici, en Seine-Saint-Denis !
#AulnaySousBois https://twitter.com/ZemmourEric/status/1506212108740005890/video/1"
793,"Je suis candidat à la présidentielle pour arrêter le grand remplacement et lutter contre l'immigration. Ma première mesure sera un référendum pour arrêter l'immigration légale et illégale.
#ZemmourSaulieu 
https://twitter.com/i/status/1492624814854623234/video/1"
385,"Merci à l’@uimm, fédération patronale représentant 42 000 entreprises industrielles et 1,6 million de salariés, pour son accueil ce matin.

Je referai de la France une terre d’industrie, pour refaire de notre pays une nation industrielle, fière et prospère. https://twitter.com/ZemmourEric/status/1501538439430291463/photo/1"
543,"Ces familles veulent le plus souvent rester à proximité de leur pays et des hommes qui se battent pour le défendre. Quand la guerre sera terminée, ces réfugiés pourront revenir sur la terre qu’ils aiment.
#RTLPresidentielle #LaVoixDeLaFrance"
1559,"Je suis l'objet d'une justice politique qui veut m'interdire de lier l'immigration à l'insécurité. C'est pour cela que j'ai été condamné pour mes propos sur les mineurs isolés. C'est pour cela que je ne les regrette absolument pas.
#BourdinDirect
https://twitter.com/i/status/1483343694979866639/video/1"
70,"Bravo à Pierre Brochand. Oui, nous subissons une immigration sans précédent et si vous le souhaitez, à partir du 24 avril prochain, j'y mettrai fin.

https://www.lefigaro.fr/vox/societe/pierre-brochand-ex-dgse-nous-subissons-une-immigration-sans-precedent-20220324"
1366,"Saviez-vous qu’avec Macron les entrées légales ont été en moyenne de 255.000 par an ? Plus que sous Hollande (222.000), Sarkozy (191.000) et Chirac (184.000). Quand M. Macron prétend fermer la porte à l’immigration illégale, il ouvre toute grande celle de l’immigration légale. « canardenchaine: DEMAIN DANS LE CANARD
et dès ce soir 23 heures sur http://lecanardenchaine.fr 

Macron va créer un très électoraliste Office de lutte contre l’immigration clandestine — https://twitter.com/canardenchaine/status/1485985821807230979 »"
2146,"Les mesures sur l’immigration seront jugées par referendum. Je veux que le peuple français puisse s’exprimer et que le Conseil constitutionnel ne puisse pas revenir sur sa décision.
#FaceABaba"
798,"Le plus beau ralliement pour moi, c’est celui des Français. Je vous annonce ce soir que mon parti RECONQUÊTE!, a la joie d’accueillir sa cent millième adhérente. Elle vient de LR et je lui remettrai demain sa carte.
#ZemmourTF1 #DebatZemmourMacron 
https://twitter.com/i/status/1492947086454800385/video/1"
779,Merci au Mouvement de la Ruralité  pour son accueil ce matin à l’Ambassade d’Auvergne. Je veux rompre avec des décennies de politiques de la ville inefficaces et mettre en place une vraie politique de la campagne. https://twitter.com/ZemmourEric/status/1493534047821258755/photo/1
131,Merci aux commerçants du marché d'#AulnaySousBois pour leur accueil ! https://twitter.com/ZemmourEric/status/1506235257883963393/photo/1
2166,"Il n’y aurait pas de France sans christianisme. Pas de France sans culture gréco-romaine. Pour que la France reste la France, il faut que les vagues d’immigration s’imprègnent de cette culture française.
#FaceABaba https://twitter.com/ZemmourEric/status/1471586932643794948/video/1"
279,"Je suis le seul à proposer une lutte déterminée contre l’immigration. Avec la suppression des pompes aspirantes, je ferai beaucoup d’économies et baisserai massivement les impôts et les taxes.
#ZemmourPresident
#FaceALaGuerreTF1
https://twitter.com/i/status/1503493438863548424/video/1"
2301,"Je suis persuadé que les femmes vont comprendre que ce qui les menace aujourd’hui, c’est une immigration débridée, violente et qui n’est pas punie.
#Élysée2022 https://twitter.com/ZemmourEric/status/1469050571843940355/video/1"
1498,"Le plan de Valérie Pécresse, c’est Trappes à la campagne. De notre côté, nous proposons tout simplement de supprimer la loi SRU, qui impose aux villes et aux villages de France le logement social qui est devenu le logement de l'immigration.

🖋️Ma tribune :
https://www.valeursactuelles.com/clubvaleurs/politique/eric-zemmour-comment-la-loi-sur-les-logements-sociaux-est-devenue-une-machine-a-fabriquer-du-communautarisme/ « FrDesouche: La mesure la plus catastrophique de Pécresse, c'est de vouloir ""casser les ghettos""... 30% de logements très sociaux dans chaque quartier... Ca craindra absolument partout 
https://twitter.com/vpecresse/status/1483553352294277127/video/1 — https://twitter.com/FrDesouche/status/1483748340487622659 »"
15,"Je stopperai les flux migratoires, je supprimerai les dispositifs qui attirent l’immigration et je garantirai l’éloignement des étrangers indésirables. 

Arrêter l’immigration pour préserver notre identité sera une priorité.
#ZemmourTrocadero https://twitter.com/ZemmourEric/status/1507676416942518272/photo/1"
